Date,Description,Amount,Principal,Fee,Other
08/07/2025,Auto Draft Payment,"-$3,695.36","-$3,678.28","-$17.08","$0.00"
07/31/2025,Auto Draft Payment,"-$3,695.48","-$3,661.15","-$34.33","$0.00"
07/24/2025,Auto Draft Payment,"-$3,695.48","-$3,644.10","-$51.38","$0.00"
07/17/2025,Auto Draft Payment,"-$3,695.48","-$3,627.14","-$68.34","$0.00"
07/10/2025,Auto Draft Payment,"-$3,695.48","-$3,610.25","-$85.23","$0.00"
07/03/2025,Auto Draft Payment,"-$3,695.48","-$3,593.45","-$102.03","$0.00"
06/26/2025,Auto Draft Payment,"-$3,695.48","-$3,576.71","-$118.77","$0.00"
06/19/2025,Auto Draft Payment,"-$3,695.48","-$3,560.06","-$135.42","$0.00"
06/12/2025,Auto Draft Payment,"-$3,695.48","-$3,543.49","-$151.99","$0.00"
06/05/2025,Auto Draft Payment,"-$3,695.48","-$3,526.99","-$168.49","$0.00"
05/29/2025,Auto Draft Payment,"-$3,695.48","-$3,510.57","-$184.91","$0.00"
05/22/2025,Auto Draft Payment,"-$3,695.48","-$3,494.23","-$201.25","$0.00"
05/15/2025,Auto Draft Payment,"-$3,695.48","-$3,477.96","-$217.52","$0.00"
05/08/2025,Auto Draft Payment,"-$3,695.48","-$3,461.76","-$233.72","$0.00"
05/01/2025,Auto Draft Payment,"-$3,695.48","-$3,445.65","-$249.83","$0.00"
04/24/2025,Auto Draft Payment,"-$3,695.48","-$3,429.61","-$265.87","$0.00"
04/17/2025,Auto Draft Payment,"-$3,695.48","-$3,413.64","-$281.84","$0.00"
04/10/2025,Auto Draft Payment,"-$3,695.48","-$3,397.75","-$297.73","$0.00"
04/03/2025,Auto Draft Payment,"-$3,695.48","-$3,381.92","-$313.56","$0.00"
03/27/2025,Auto Draft Payment,"-$3,695.48","-$3,366.19","-$329.29","$0.00"
03/20/2025,Auto Draft Payment,"-$3,695.48","-$3,350.51","-$344.97","$0.00"
03/13/2025,Auto Draft Payment,"-$3,695.48","-$3,334.91","-$360.57","$0.00"
03/06/2025,Auto Draft Payment,"-$3,695.48","-$3,319.39","-$376.09","$0.00"
02/27/2025,Auto Draft Payment,"-$3,695.48","-$3,303.93","-$391.55","$0.00"
02/20/2025,Auto Draft Payment,"-$3,695.48","-$3,288.55","-$406.93","$0.00"
02/13/2025,Auto Draft Payment,"-$3,695.48","-$3,273.24","-$422.24","$0.00"
02/06/2025,Auto Draft Payment,"-$3,695.48","-$3,258.00","-$437.48","$0.00"
01/30/2025,Auto Draft Payment,"-$3,695.48","-$3,242.83","-$452.65","$0.00"
01/23/2025,Auto Draft Payment,"-$3,695.48","-$3,227.74","-$467.74","$0.00"
01/10/2025,Payoff,"$20,673.22","$20,673.22","$0.00","$0.00"
01/10/2025,Wire,"$79,326.78","$79,326.78","$0.00","$0.00"
01/10/2025,Total Loan Fee,"$7,168.80","$0.00","$7,168.80","$0.00"